"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_016743855.1_ASM1674385v1_genomic.fna","GCF_016864255.1_ASM1686425v1_genomic.fna","GCF_017584065.1_ASM1758406v1_genomic.fna","GCF_017603725.1_ASM1760372v1_genomic.fna","GCF_017815655.1_ASM1781565v1_genomic.fna","GCF_017815675.1_ASM1781567v1_genomic.fna","GCF_017815695.1_ASM1781569v1_genomic.fna","GCF_017897965.1_ASM1789796v1_genomic.fna","GCF_017898005.1_ASM1789800v1_genomic.fna","GCF_017898025.1_ASM1789802v1_genomic.fna","GCF_018219285.1_ASM1821928v1_genomic.fna","GCF_018219325.1_ASM1821932v1_genomic.fna","GCF_018279145.1_ASM1827914v1_genomic.fna","GCF_018516845.1_ASM1851684v1_genomic.fna","GCF_018516925.1_ASM1851692v1_genomic.fna","GCF_018517045.1_ASM1851704v1_genomic.fna","GCF_018517065.1_ASM1851706v1_genomic.fna","GCF_018517085.1_ASM1851708v1_genomic.fna","GCF_018517105.1_ASM1851710v1_genomic.fna","GCF_018517185.1_ASM1851718v1_genomic.fna"
"group_1698","","hypothetical protein","20","20","1","1","5297","","","","350","350","350","GCF_016743855.1_ASM1674385v1_genomic.fna_01261","GCF_016864255.1_ASM1686425v1_genomic.fna_01410","GCF_017584065.1_ASM1758406v1_genomic.fna_01512","GCF_017603725.1_ASM1760372v1_genomic.fna_01363","GCF_017815655.1_ASM1781565v1_genomic.fna_01368","GCF_017815675.1_ASM1781567v1_genomic.fna_01423","GCF_017815695.1_ASM1781569v1_genomic.fna_01381","GCF_017897965.1_ASM1789796v1_genomic.fna_01489","GCF_017898005.1_ASM1789800v1_genomic.fna_01489","GCF_017898025.1_ASM1789802v1_genomic.fna_02647","GCF_018219285.1_ASM1821928v1_genomic.fna_01365","GCF_018219325.1_ASM1821932v1_genomic.fna_01417","GCF_018279145.1_ASM1827914v1_genomic.fna_02107","GCF_018516845.1_ASM1851684v1_genomic.fna_01274","GCF_018516925.1_ASM1851692v1_genomic.fna_01375","GCF_018517045.1_ASM1851704v1_genomic.fna_01306","GCF_018517065.1_ASM1851706v1_genomic.fna_01258","GCF_018517085.1_ASM1851708v1_genomic.fna_01252","GCF_018517105.1_ASM1851710v1_genomic.fna_01482","GCF_018517185.1_ASM1851718v1_genomic.fna_01204"
"ahpC","","Alkyl hydroperoxide reductase subunit C","20","20","1","1","5294","","","","374","563","553","GCF_016743855.1_ASM1674385v1_genomic.fna_01263","GCF_016864255.1_ASM1686425v1_genomic.fna_01408","GCF_017584065.1_ASM1758406v1_genomic.fna_01510","GCF_017603725.1_ASM1760372v1_genomic.fna_01361","GCF_017815655.1_ASM1781565v1_genomic.fna_01366","GCF_017815675.1_ASM1781567v1_genomic.fna_01421","GCF_017815695.1_ASM1781569v1_genomic.fna_01379","GCF_017897965.1_ASM1789796v1_genomic.fna_01487","GCF_017898005.1_ASM1789800v1_genomic.fna_01487","GCF_017898025.1_ASM1789802v1_genomic.fna_02645","GCF_018219285.1_ASM1821928v1_genomic.fna_01369","GCF_018219325.1_ASM1821932v1_genomic.fna_01415","GCF_018279145.1_ASM1827914v1_genomic.fna_02105","GCF_018516845.1_ASM1851684v1_genomic.fna_01277","GCF_018516925.1_ASM1851692v1_genomic.fna_01373","GCF_018517045.1_ASM1851704v1_genomic.fna_01308","GCF_018517065.1_ASM1851706v1_genomic.fna_01260","GCF_018517085.1_ASM1851708v1_genomic.fna_01254","GCF_018517105.1_ASM1851710v1_genomic.fna_01480","GCF_018517185.1_ASM1851718v1_genomic.fna_01206"
"ohrA","","Organic hydroperoxide resistance protein OhrA","20","20","1","1","169","","","","398","410","409","GCF_016743855.1_ASM1674385v1_genomic.fna_01272","GCF_016864255.1_ASM1686425v1_genomic.fna_01399","GCF_017584065.1_ASM1758406v1_genomic.fna_01501","GCF_017603725.1_ASM1760372v1_genomic.fna_01352","GCF_017815655.1_ASM1781565v1_genomic.fna_01358","GCF_017815675.1_ASM1781567v1_genomic.fna_01413","GCF_017815695.1_ASM1781569v1_genomic.fna_01371","GCF_017897965.1_ASM1789796v1_genomic.fna_01479","GCF_017898005.1_ASM1789800v1_genomic.fna_01479","GCF_017898025.1_ASM1789802v1_genomic.fna_02637","GCF_018219285.1_ASM1821928v1_genomic.fna_01382","GCF_018219325.1_ASM1821932v1_genomic.fna_01406","GCF_018279145.1_ASM1827914v1_genomic.fna_02097","GCF_018516845.1_ASM1851684v1_genomic.fna_01287","GCF_018516925.1_ASM1851692v1_genomic.fna_01365","GCF_018517045.1_ASM1851704v1_genomic.fna_01316","GCF_018517065.1_ASM1851706v1_genomic.fna_01270","GCF_018517085.1_ASM1851708v1_genomic.fna_01263","GCF_018517105.1_ASM1851710v1_genomic.fna_01472","GCF_018517185.1_ASM1851718v1_genomic.fna_01215"
"group_1702","","hypothetical protein","20","20","1","1","164","","","","848","848","848","GCF_016743855.1_ASM1674385v1_genomic.fna_01274","GCF_016864255.1_ASM1686425v1_genomic.fna_01397","GCF_017584065.1_ASM1758406v1_genomic.fna_01499","GCF_017603725.1_ASM1760372v1_genomic.fna_01350","GCF_017815655.1_ASM1781565v1_genomic.fna_01356","GCF_017815675.1_ASM1781567v1_genomic.fna_01411","GCF_017815695.1_ASM1781569v1_genomic.fna_01369","GCF_017897965.1_ASM1789796v1_genomic.fna_01477","GCF_017898005.1_ASM1789800v1_genomic.fna_01477","GCF_017898025.1_ASM1789802v1_genomic.fna_02635","GCF_018219285.1_ASM1821928v1_genomic.fna_01384","GCF_018219325.1_ASM1821932v1_genomic.fna_01404","GCF_018279145.1_ASM1827914v1_genomic.fna_02095","GCF_018516845.1_ASM1851684v1_genomic.fna_01289","GCF_018516925.1_ASM1851692v1_genomic.fna_01363","GCF_018517045.1_ASM1851704v1_genomic.fna_01318","GCF_018517065.1_ASM1851706v1_genomic.fna_01272","GCF_018517085.1_ASM1851708v1_genomic.fna_01265","GCF_018517105.1_ASM1851710v1_genomic.fna_01470","GCF_018517185.1_ASM1851718v1_genomic.fna_01217"
"mdxE","","Maltodextrin-binding protein MdxE","20","20","1","1","162","","","","1259","1259","1259","GCF_016743855.1_ASM1674385v1_genomic.fna_01276","GCF_016864255.1_ASM1686425v1_genomic.fna_01395","GCF_017584065.1_ASM1758406v1_genomic.fna_01497","GCF_017603725.1_ASM1760372v1_genomic.fna_01348","GCF_017815655.1_ASM1781565v1_genomic.fna_01354","GCF_017815675.1_ASM1781567v1_genomic.fna_01409","GCF_017815695.1_ASM1781569v1_genomic.fna_01367","GCF_017897965.1_ASM1789796v1_genomic.fna_01475","GCF_017898005.1_ASM1789800v1_genomic.fna_01475","GCF_017898025.1_ASM1789802v1_genomic.fna_02633","GCF_018219285.1_ASM1821928v1_genomic.fna_01386","GCF_018219325.1_ASM1821932v1_genomic.fna_01402","GCF_018279145.1_ASM1827914v1_genomic.fna_02093","GCF_018516845.1_ASM1851684v1_genomic.fna_01291","GCF_018516925.1_ASM1851692v1_genomic.fna_01361","GCF_018517045.1_ASM1851704v1_genomic.fna_01320","GCF_018517065.1_ASM1851706v1_genomic.fna_01274","GCF_018517085.1_ASM1851708v1_genomic.fna_01267","GCF_018517105.1_ASM1851710v1_genomic.fna_01468","GCF_018517185.1_ASM1851718v1_genomic.fna_01219"
"group_1704","","hypothetical protein","20","20","1","1","159","","","","815","815","815","GCF_016743855.1_ASM1674385v1_genomic.fna_01279","GCF_016864255.1_ASM1686425v1_genomic.fna_01392","GCF_017584065.1_ASM1758406v1_genomic.fna_01494","GCF_017603725.1_ASM1760372v1_genomic.fna_01345","GCF_017815655.1_ASM1781565v1_genomic.fna_01351","GCF_017815675.1_ASM1781567v1_genomic.fna_01406","GCF_017815695.1_ASM1781569v1_genomic.fna_01364","GCF_017897965.1_ASM1789796v1_genomic.fna_01472","GCF_017898005.1_ASM1789800v1_genomic.fna_01472","GCF_017898025.1_ASM1789802v1_genomic.fna_02630","GCF_018219285.1_ASM1821928v1_genomic.fna_01389","GCF_018219325.1_ASM1821932v1_genomic.fna_01399","GCF_018279145.1_ASM1827914v1_genomic.fna_02090","GCF_018516845.1_ASM1851684v1_genomic.fna_01294","GCF_018516925.1_ASM1851692v1_genomic.fna_01358","GCF_018517045.1_ASM1851704v1_genomic.fna_01323","GCF_018517065.1_ASM1851706v1_genomic.fna_01277","GCF_018517085.1_ASM1851708v1_genomic.fna_01270","GCF_018517105.1_ASM1851710v1_genomic.fna_01465","GCF_018517185.1_ASM1851718v1_genomic.fna_01222"
"pyrDA","","Dihydroorotate dehydrogenase A (fumarate)","20","20","1","1","156","","","","944","944","944","GCF_016743855.1_ASM1674385v1_genomic.fna_01282","GCF_016864255.1_ASM1686425v1_genomic.fna_01389","GCF_017584065.1_ASM1758406v1_genomic.fna_01491","GCF_017603725.1_ASM1760372v1_genomic.fna_01342","GCF_017815655.1_ASM1781565v1_genomic.fna_01348","GCF_017815675.1_ASM1781567v1_genomic.fna_01403","GCF_017815695.1_ASM1781569v1_genomic.fna_01361","GCF_017897965.1_ASM1789796v1_genomic.fna_01469","GCF_017898005.1_ASM1789800v1_genomic.fna_01469","GCF_017898025.1_ASM1789802v1_genomic.fna_02627","GCF_018219285.1_ASM1821928v1_genomic.fna_01392","GCF_018219325.1_ASM1821932v1_genomic.fna_01395","GCF_018279145.1_ASM1827914v1_genomic.fna_02087","GCF_018516845.1_ASM1851684v1_genomic.fna_01297","GCF_018516925.1_ASM1851692v1_genomic.fna_01355","GCF_018517045.1_ASM1851704v1_genomic.fna_01326","GCF_018517065.1_ASM1851706v1_genomic.fna_01280","GCF_018517085.1_ASM1851708v1_genomic.fna_01273","GCF_018517105.1_ASM1851710v1_genomic.fna_01462","GCF_018517185.1_ASM1851718v1_genomic.fna_01225"
"yckB","","putative ABC transporter extracellular-binding protein YckB","20","20","1","1","152","","","","836","836","836","GCF_016743855.1_ASM1674385v1_genomic.fna_01284","GCF_016864255.1_ASM1686425v1_genomic.fna_01387","GCF_017584065.1_ASM1758406v1_genomic.fna_01489","GCF_017603725.1_ASM1760372v1_genomic.fna_01340","GCF_017815655.1_ASM1781565v1_genomic.fna_01346","GCF_017815675.1_ASM1781567v1_genomic.fna_01401","GCF_017815695.1_ASM1781569v1_genomic.fna_01359","GCF_017897965.1_ASM1789796v1_genomic.fna_01467","GCF_017898005.1_ASM1789800v1_genomic.fna_01467","GCF_017898025.1_ASM1789802v1_genomic.fna_02625","GCF_018219285.1_ASM1821928v1_genomic.fna_01394","GCF_018219325.1_ASM1821932v1_genomic.fna_01393","GCF_018279145.1_ASM1827914v1_genomic.fna_02085","GCF_018516845.1_ASM1851684v1_genomic.fna_01299","GCF_018516925.1_ASM1851692v1_genomic.fna_01353","GCF_018517045.1_ASM1851704v1_genomic.fna_01328","GCF_018517065.1_ASM1851706v1_genomic.fna_01282","GCF_018517085.1_ASM1851708v1_genomic.fna_01275","GCF_018517105.1_ASM1851710v1_genomic.fna_01460","GCF_018517185.1_ASM1851718v1_genomic.fna_01227"
"group_1707","","hypothetical protein","20","20","1","1","150","","","","689","689","689","GCF_016743855.1_ASM1674385v1_genomic.fna_01286","GCF_016864255.1_ASM1686425v1_genomic.fna_01385","GCF_017584065.1_ASM1758406v1_genomic.fna_01487","GCF_017603725.1_ASM1760372v1_genomic.fna_01338","GCF_017815655.1_ASM1781565v1_genomic.fna_01344","GCF_017815675.1_ASM1781567v1_genomic.fna_01399","GCF_017815695.1_ASM1781569v1_genomic.fna_01357","GCF_017897965.1_ASM1789796v1_genomic.fna_01465","GCF_017898005.1_ASM1789800v1_genomic.fna_01465","GCF_017898025.1_ASM1789802v1_genomic.fna_02623","GCF_018219285.1_ASM1821928v1_genomic.fna_01396","GCF_018219325.1_ASM1821932v1_genomic.fna_01391","GCF_018279145.1_ASM1827914v1_genomic.fna_02083","GCF_018516845.1_ASM1851684v1_genomic.fna_01301","GCF_018516925.1_ASM1851692v1_genomic.fna_01351","GCF_018517045.1_ASM1851704v1_genomic.fna_01330","GCF_018517065.1_ASM1851706v1_genomic.fna_01284","GCF_018517085.1_ASM1851708v1_genomic.fna_01277","GCF_018517105.1_ASM1851710v1_genomic.fna_01458","GCF_018517185.1_ASM1851718v1_genomic.fna_01229"
"group_1708","","hypothetical protein","20","20","1","1","141","","","","191","191","191","GCF_016743855.1_ASM1674385v1_genomic.fna_01292","GCF_016864255.1_ASM1686425v1_genomic.fna_01379","GCF_017584065.1_ASM1758406v1_genomic.fna_01480","GCF_017603725.1_ASM1760372v1_genomic.fna_01332","GCF_017815655.1_ASM1781565v1_genomic.fna_01338","GCF_017815675.1_ASM1781567v1_genomic.fna_01393","GCF_017815695.1_ASM1781569v1_genomic.fna_01351","GCF_017897965.1_ASM1789796v1_genomic.fna_01459","GCF_017898005.1_ASM1789800v1_genomic.fna_01459","GCF_017898025.1_ASM1789802v1_genomic.fna_02617","GCF_018219285.1_ASM1821928v1_genomic.fna_01403","GCF_018219325.1_ASM1821932v1_genomic.fna_01385","GCF_018279145.1_ASM1827914v1_genomic.fna_02077","GCF_018516845.1_ASM1851684v1_genomic.fna_01307","GCF_018516925.1_ASM1851692v1_genomic.fna_01345","GCF_018517045.1_ASM1851704v1_genomic.fna_01336","GCF_018517065.1_ASM1851706v1_genomic.fna_01290","GCF_018517085.1_ASM1851708v1_genomic.fna_01283","GCF_018517105.1_ASM1851710v1_genomic.fna_01452","GCF_018517185.1_ASM1851718v1_genomic.fna_01235"
"group_1709","","hypothetical protein","20","20","1","1","140","","","","917","917","917","GCF_016743855.1_ASM1674385v1_genomic.fna_01293","GCF_016864255.1_ASM1686425v1_genomic.fna_01378","GCF_017584065.1_ASM1758406v1_genomic.fna_01479","GCF_017603725.1_ASM1760372v1_genomic.fna_01331","GCF_017815655.1_ASM1781565v1_genomic.fna_01337","GCF_017815675.1_ASM1781567v1_genomic.fna_01392","GCF_017815695.1_ASM1781569v1_genomic.fna_01350","GCF_017897965.1_ASM1789796v1_genomic.fna_01458","GCF_017898005.1_ASM1789800v1_genomic.fna_01458","GCF_017898025.1_ASM1789802v1_genomic.fna_02616","GCF_018219285.1_ASM1821928v1_genomic.fna_01404","GCF_018219325.1_ASM1821932v1_genomic.fna_01384","GCF_018279145.1_ASM1827914v1_genomic.fna_02076","GCF_018516845.1_ASM1851684v1_genomic.fna_01308","GCF_018516925.1_ASM1851692v1_genomic.fna_01344","GCF_018517045.1_ASM1851704v1_genomic.fna_01337","GCF_018517065.1_ASM1851706v1_genomic.fna_01291","GCF_018517085.1_ASM1851708v1_genomic.fna_01284","GCF_018517105.1_ASM1851710v1_genomic.fna_01451","GCF_018517185.1_ASM1851718v1_genomic.fna_01236"
"group_1710","","hypothetical protein","20","20","1","1","139","","","","1073","1073","1073","GCF_016743855.1_ASM1674385v1_genomic.fna_01294","GCF_016864255.1_ASM1686425v1_genomic.fna_01377","GCF_017584065.1_ASM1758406v1_genomic.fna_01478","GCF_017603725.1_ASM1760372v1_genomic.fna_01330","GCF_017815655.1_ASM1781565v1_genomic.fna_01336","GCF_017815675.1_ASM1781567v1_genomic.fna_01391","GCF_017815695.1_ASM1781569v1_genomic.fna_01349","GCF_017897965.1_ASM1789796v1_genomic.fna_01457","GCF_017898005.1_ASM1789800v1_genomic.fna_01457","GCF_017898025.1_ASM1789802v1_genomic.fna_02615","GCF_018219285.1_ASM1821928v1_genomic.fna_01405","GCF_018219325.1_ASM1821932v1_genomic.fna_01383","GCF_018279145.1_ASM1827914v1_genomic.fna_02075","GCF_018516845.1_ASM1851684v1_genomic.fna_01309","GCF_018516925.1_ASM1851692v1_genomic.fna_01343","GCF_018517045.1_ASM1851704v1_genomic.fna_01338","GCF_018517065.1_ASM1851706v1_genomic.fna_01292","GCF_018517085.1_ASM1851708v1_genomic.fna_01285","GCF_018517105.1_ASM1851710v1_genomic.fna_01450","GCF_018517185.1_ASM1851718v1_genomic.fna_01237"
"murJ_1","","Lipid II flippase MurJ","20","20","1","1","133","","","","1610","1610","1610","GCF_016743855.1_ASM1674385v1_genomic.fna_01300","GCF_016864255.1_ASM1686425v1_genomic.fna_01371","GCF_017584065.1_ASM1758406v1_genomic.fna_01472","GCF_017603725.1_ASM1760372v1_genomic.fna_01324","GCF_017815655.1_ASM1781565v1_genomic.fna_01330","GCF_017815675.1_ASM1781567v1_genomic.fna_01385","GCF_017815695.1_ASM1781569v1_genomic.fna_01343","GCF_017897965.1_ASM1789796v1_genomic.fna_01451","GCF_017898005.1_ASM1789800v1_genomic.fna_01451","GCF_017898025.1_ASM1789802v1_genomic.fna_02609","GCF_018219285.1_ASM1821928v1_genomic.fna_01411","GCF_018219325.1_ASM1821932v1_genomic.fna_01377","GCF_018279145.1_ASM1827914v1_genomic.fna_02069","GCF_018516845.1_ASM1851684v1_genomic.fna_01315","GCF_018516925.1_ASM1851692v1_genomic.fna_01337","GCF_018517045.1_ASM1851704v1_genomic.fna_01344","GCF_018517065.1_ASM1851706v1_genomic.fna_01298","GCF_018517085.1_ASM1851708v1_genomic.fna_01291","GCF_018517105.1_ASM1851710v1_genomic.fna_01444","GCF_018517185.1_ASM1851718v1_genomic.fna_01244"
"malL_2","","Oligo-1,6-glucosidase","20","20","1","1","127","","","","1643","1643","1643","GCF_016743855.1_ASM1674385v1_genomic.fna_01304","GCF_016864255.1_ASM1686425v1_genomic.fna_01365","GCF_017584065.1_ASM1758406v1_genomic.fna_01468","GCF_017603725.1_ASM1760372v1_genomic.fna_01320","GCF_017815655.1_ASM1781565v1_genomic.fna_01326","GCF_017815675.1_ASM1781567v1_genomic.fna_01381","GCF_017815695.1_ASM1781569v1_genomic.fna_01339","GCF_017897965.1_ASM1789796v1_genomic.fna_01447","GCF_017898005.1_ASM1789800v1_genomic.fna_01447","GCF_017898025.1_ASM1789802v1_genomic.fna_02605","GCF_018219285.1_ASM1821928v1_genomic.fna_01415","GCF_018219325.1_ASM1821932v1_genomic.fna_01373","GCF_018279145.1_ASM1827914v1_genomic.fna_02065","GCF_018516845.1_ASM1851684v1_genomic.fna_01319","GCF_018516925.1_ASM1851692v1_genomic.fna_01333","GCF_018517045.1_ASM1851704v1_genomic.fna_01350","GCF_018517065.1_ASM1851706v1_genomic.fna_01302","GCF_018517085.1_ASM1851708v1_genomic.fna_01295","GCF_018517105.1_ASM1851710v1_genomic.fna_01438","GCF_018517185.1_ASM1851718v1_genomic.fna_01248"
"group_1713","","hypothetical protein","20","20","1","1","126","","","","545","545","545","GCF_016743855.1_ASM1674385v1_genomic.fna_01305","GCF_016864255.1_ASM1686425v1_genomic.fna_01363","GCF_017584065.1_ASM1758406v1_genomic.fna_01467","GCF_017603725.1_ASM1760372v1_genomic.fna_01319","GCF_017815655.1_ASM1781565v1_genomic.fna_01325","GCF_017815675.1_ASM1781567v1_genomic.fna_01380","GCF_017815695.1_ASM1781569v1_genomic.fna_01338","GCF_017897965.1_ASM1789796v1_genomic.fna_01446","GCF_017898005.1_ASM1789800v1_genomic.fna_01446","GCF_017898025.1_ASM1789802v1_genomic.fna_02604","GCF_018219285.1_ASM1821928v1_genomic.fna_01416","GCF_018219325.1_ASM1821932v1_genomic.fna_01372","GCF_018279145.1_ASM1827914v1_genomic.fna_02064","GCF_018516845.1_ASM1851684v1_genomic.fna_01320","GCF_018516925.1_ASM1851692v1_genomic.fna_01332","GCF_018517045.1_ASM1851704v1_genomic.fna_01351","GCF_018517065.1_ASM1851706v1_genomic.fna_01303","GCF_018517085.1_ASM1851708v1_genomic.fna_01296","GCF_018517105.1_ASM1851710v1_genomic.fna_01437","GCF_018517185.1_ASM1851718v1_genomic.fna_01249"
"hmpT","","Thiamine precursor transporter HmpT","20","20","1","1","125","","","","485","485","485","GCF_016743855.1_ASM1674385v1_genomic.fna_01306","GCF_016864255.1_ASM1686425v1_genomic.fna_01362","GCF_017584065.1_ASM1758406v1_genomic.fna_01466","GCF_017603725.1_ASM1760372v1_genomic.fna_01318","GCF_017815655.1_ASM1781565v1_genomic.fna_01324","GCF_017815675.1_ASM1781567v1_genomic.fna_01379","GCF_017815695.1_ASM1781569v1_genomic.fna_01337","GCF_017897965.1_ASM1789796v1_genomic.fna_01445","GCF_017898005.1_ASM1789800v1_genomic.fna_01445","GCF_017898025.1_ASM1789802v1_genomic.fna_02603","GCF_018219285.1_ASM1821928v1_genomic.fna_01417","GCF_018219325.1_ASM1821932v1_genomic.fna_01371","GCF_018279145.1_ASM1827914v1_genomic.fna_02063","GCF_018516845.1_ASM1851684v1_genomic.fna_01321","GCF_018516925.1_ASM1851692v1_genomic.fna_01331","GCF_018517045.1_ASM1851704v1_genomic.fna_01352","GCF_018517065.1_ASM1851706v1_genomic.fna_01304","GCF_018517085.1_ASM1851708v1_genomic.fna_01297","GCF_018517105.1_ASM1851710v1_genomic.fna_01436","GCF_018517185.1_ASM1851718v1_genomic.fna_01250"
"xerS_1","","Tyrosine recombinase XerS","20","20","1","1","120","","","","1031","1031","1031","GCF_016743855.1_ASM1674385v1_genomic.fna_01309","GCF_016864255.1_ASM1686425v1_genomic.fna_01359","GCF_017584065.1_ASM1758406v1_genomic.fna_01461","GCF_017603725.1_ASM1760372v1_genomic.fna_01313","GCF_017815655.1_ASM1781565v1_genomic.fna_01319","GCF_017815675.1_ASM1781567v1_genomic.fna_01374","GCF_017815695.1_ASM1781569v1_genomic.fna_01332","GCF_017897965.1_ASM1789796v1_genomic.fna_01440","GCF_017898005.1_ASM1789800v1_genomic.fna_01440","GCF_017898025.1_ASM1789802v1_genomic.fna_02598","GCF_018219285.1_ASM1821928v1_genomic.fna_01420","GCF_018219325.1_ASM1821932v1_genomic.fna_01366","GCF_018279145.1_ASM1827914v1_genomic.fna_02059","GCF_018516845.1_ASM1851684v1_genomic.fna_01324","GCF_018516925.1_ASM1851692v1_genomic.fna_01326","GCF_018517045.1_ASM1851704v1_genomic.fna_01355","GCF_018517065.1_ASM1851706v1_genomic.fna_01307","GCF_018517085.1_ASM1851708v1_genomic.fna_01300","GCF_018517105.1_ASM1851710v1_genomic.fna_01433","GCF_018517185.1_ASM1851718v1_genomic.fna_01253"
"group_1719","","hypothetical protein","20","20","1","1","99","","","","305","305","305","GCF_016743855.1_ASM1674385v1_genomic.fna_01324","GCF_016864255.1_ASM1686425v1_genomic.fna_01345","GCF_017584065.1_ASM1758406v1_genomic.fna_01447","GCF_017603725.1_ASM1760372v1_genomic.fna_01299","GCF_017815655.1_ASM1781565v1_genomic.fna_01305","GCF_017815675.1_ASM1781567v1_genomic.fna_01360","GCF_017815695.1_ASM1781569v1_genomic.fna_01318","GCF_017897965.1_ASM1789796v1_genomic.fna_01426","GCF_017898005.1_ASM1789800v1_genomic.fna_01426","GCF_017898025.1_ASM1789802v1_genomic.fna_02584","GCF_018219285.1_ASM1821928v1_genomic.fna_01437","GCF_018219325.1_ASM1821932v1_genomic.fna_01351","GCF_018279145.1_ASM1827914v1_genomic.fna_02048","GCF_018516845.1_ASM1851684v1_genomic.fna_01331","GCF_018516925.1_ASM1851692v1_genomic.fna_01310","GCF_018517045.1_ASM1851704v1_genomic.fna_01369","GCF_018517065.1_ASM1851706v1_genomic.fna_01321","GCF_018517085.1_ASM1851708v1_genomic.fna_01314","GCF_018517105.1_ASM1851710v1_genomic.fna_01419","GCF_018517185.1_ASM1851718v1_genomic.fna_01268"
"group_1720","","hypothetical protein","20","20","1","1","96","","","","284","284","284","GCF_016743855.1_ASM1674385v1_genomic.fna_01326","GCF_016864255.1_ASM1686425v1_genomic.fna_01343","GCF_017584065.1_ASM1758406v1_genomic.fna_01445","GCF_017603725.1_ASM1760372v1_genomic.fna_01297","GCF_017815655.1_ASM1781565v1_genomic.fna_01303","GCF_017815675.1_ASM1781567v1_genomic.fna_01358","GCF_017815695.1_ASM1781569v1_genomic.fna_01316","GCF_017897965.1_ASM1789796v1_genomic.fna_01424","GCF_017898005.1_ASM1789800v1_genomic.fna_01424","GCF_017898025.1_ASM1789802v1_genomic.fna_02582","GCF_018219285.1_ASM1821928v1_genomic.fna_01439","GCF_018219325.1_ASM1821932v1_genomic.fna_01349","GCF_018279145.1_ASM1827914v1_genomic.fna_02046","GCF_018516845.1_ASM1851684v1_genomic.fna_01333","GCF_018516925.1_ASM1851692v1_genomic.fna_01308","GCF_018517045.1_ASM1851704v1_genomic.fna_01371","GCF_018517065.1_ASM1851706v1_genomic.fna_01323","GCF_018517085.1_ASM1851708v1_genomic.fna_01316","GCF_018517105.1_ASM1851710v1_genomic.fna_01416","GCF_018517185.1_ASM1851718v1_genomic.fna_01270"
"doc_1","","Toxin Doc","20","20","1","1","181","","","","326","398","387","GCF_016743855.1_ASM1674385v1_genomic.fna_01332","GCF_016864255.1_ASM1686425v1_genomic.fna_01336","GCF_017584065.1_ASM1758406v1_genomic.fna_01438","GCF_017603725.1_ASM1760372v1_genomic.fna_01290","GCF_017815655.1_ASM1781565v1_genomic.fna_01295","GCF_017815675.1_ASM1781567v1_genomic.fna_01351","GCF_017815695.1_ASM1781569v1_genomic.fna_01309","GCF_017897965.1_ASM1789796v1_genomic.fna_01417","GCF_017898005.1_ASM1789800v1_genomic.fna_01417","GCF_017898025.1_ASM1789802v1_genomic.fna_02575","GCF_018219285.1_ASM1821928v1_genomic.fna_01450","GCF_018219325.1_ASM1821932v1_genomic.fna_01342","GCF_018279145.1_ASM1827914v1_genomic.fna_02040","GCF_018516845.1_ASM1851684v1_genomic.fna_01339","GCF_018516925.1_ASM1851692v1_genomic.fna_01301","GCF_018517045.1_ASM1851704v1_genomic.fna_01378","GCF_018517065.1_ASM1851706v1_genomic.fna_01330","GCF_018517085.1_ASM1851708v1_genomic.fna_01323","GCF_018517105.1_ASM1851710v1_genomic.fna_01409","GCF_018517185.1_ASM1851718v1_genomic.fna_01276"
"group_1722","","hypothetical protein","20","20","1","1","183","","","","242","317","313","GCF_016743855.1_ASM1674385v1_genomic.fna_01334","GCF_016864255.1_ASM1686425v1_genomic.fna_01334","GCF_017584065.1_ASM1758406v1_genomic.fna_01436","GCF_017603725.1_ASM1760372v1_genomic.fna_01288","GCF_017815655.1_ASM1781565v1_genomic.fna_01293","GCF_017815675.1_ASM1781567v1_genomic.fna_01349","GCF_017815695.1_ASM1781569v1_genomic.fna_01307","GCF_017897965.1_ASM1789796v1_genomic.fna_01415","GCF_017898005.1_ASM1789800v1_genomic.fna_01415","GCF_017898025.1_ASM1789802v1_genomic.fna_02573","GCF_018219285.1_ASM1821928v1_genomic.fna_01452","GCF_018219325.1_ASM1821932v1_genomic.fna_01340","GCF_018279145.1_ASM1827914v1_genomic.fna_02038","GCF_018516845.1_ASM1851684v1_genomic.fna_01341","GCF_018516925.1_ASM1851692v1_genomic.fna_01298","GCF_018517045.1_ASM1851704v1_genomic.fna_01380","GCF_018517065.1_ASM1851706v1_genomic.fna_01332","GCF_018517085.1_ASM1851708v1_genomic.fna_01325","GCF_018517105.1_ASM1851710v1_genomic.fna_01407","GCF_018517185.1_ASM1851718v1_genomic.fna_01278"
